,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
13,False,/jlGmlFOcfo8n5tURmhC7YVd4Iyy.jpg,"[28, 12, 14]",436969,en,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",499.977,/kb4s0ML0iVZlG6wAKbbs9NAm6X.jpg,2021-07-28,The Suicide Squad,False,7.8,4942
14,False,/wfrfxivLOBtGMC98tIr2LSOeKSe.jpg,"[16, 12, 35, 10751]",639721,en,The Addams Family 2,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,471.517,/ld7YB9vBRp1GM1DT3KmFWSmtBPB.jpg,2021-10-01,The Addams Family 2,False,7.3,633
15,False,/w2jm8I0K83aZzHcI4Acl8DtuXCt.jpg,"[16, 10751, 12, 35]",675445,en,PAW Patrol: The Movie,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,475.101,/ic0intvXZSfBlYPIvWXpU1ivUCO.jpg,2021-08-09,PAW Patrol: The Movie,False,7.6,731
16,False,/gxr3YtExqUPCJCj9GL1FXNcX9Fl.jpg,"[878, 53, 9648]",675319,en,Zone 414,"In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",469.457,/wIm5S6Blkb0qDMTGVu80VWSrQV1.jpg,2021-09-03,Zone 414,False,5.6,105
17,False,/pFnEAK3eN8xX9AeggG9ISFYr1OO.jpg,[53],835551,en,Masquerade,A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.,400.956,/1sHH629kR3ZDmPfL90JkUWew4wz.jpg,2021-07-30,Masquerade,False,5.8,30
18,False,/9yBVqNruk6Ykrwc32qrK2TIE5xw.jpg,"[28, 14, 12]",460465,en,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",421.375,/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg,2021-04-07,Mortal Kombat,False,7.3,4110
19,False,/qknLmBKDyjGMC40b7ZehqdfIi2A.jpg,"[35, 14, 12, 878]",425909,en,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",374.068,/kHNWm8YDl1Pf6tyzluLagbtkU94.jpg,2021-11-11,Ghostbusters: Afterlife,False,7.4,274
20,False,/inJjDhCjfhh3RtrJWBmmDqeuSYC.jpg,"[28, 14, 878]",399566,en,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",349.211,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,2021-03-24,Godzilla vs. Kong,False,7.9,7301
21,False,/20uxpCsKHyBshjF3Y8Px7y3JpbL.jpg,"[16, 35, 10751, 10402]",438695,en,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",309.915,/sgNDmH3ucT1hi60ECLsasMloKEF.jpg,2021-12-01,Sing 2,False,8.3,16
22,False,/vkIJ2QgcKMJRvi6pBW4Tr2kgLdy.jpg,[53],637534,fr,BAC Nord,"A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",299.591,/nLanxl7Xhfbd5s8FxPy8jWZw4rv.jpg,2021-08-18,The Stronghold,False,7.7,510
