"时间戳记","After the lockdown of COVID-19, did your indoor entertainment activities become more than before?","What is your gender?","What is your age group?","What about your work experience?","Which is your favourite indoor entertainment?","Which factor influence you most to choose to watch a movie","Do you read film reviews before watching a movie?","Do bad film reviews make you decide to give up watching this movie?","Where do you usually browse movie reviews most?","Do you think there are many cases of deliberately creating bad movie reviews","Do you think most of the movies recommended by these film review platforms are your interest?","Do you like to share your film reviews online?","If you don’t want to share your film reviews, why?","Do you find that some film reviews focused on criticising the of actors appearance bother you? If so, why?","If the film review website can filter out the film reviews according to the user's personal needs, like clear some comments which attack others, it will help users to get more authentic film reviews, will you use this function all the times?","If the toxic review filtering limit user share their comments which is toxic. Would you take the initiative to use that, even it would limit your (toxic) comment, but everyone will get a fair and authentic environment.","How do you get the movie you may interest online?","When the platform's recommendation system to recommend movies to you, which basis do you want most?","Which aspect of the movie is most valued for you?"
"2021/10/13 3:54:07 下午 GMT+1","Yes","Female","18-25","Have less than 3 years of work experience","Watching movies;Playing the computer game","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","IMDb (Internet Movie Database)","Yes","Half","Sometimes","Not getting likes/share from others","No","No","Yes","Some people share it on the social media","My saved/like movies list","Story plot"
"2021/10/13 3:58:36 下午 GMT+1","Maybe, not really","Female","25-45","Student","Watching movies","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Yes","Yes","douban","Maybe","Half","Sometimes","Too many trolls","Maybe","Maybe","Maybe","Shared link from my friends","All of the above are important","Story plot"
"2021/10/13 4:03:09 下午 GMT+1","No","Female","25-45","Have 3-10 years of work experience","Partys","Good reviews","Sometimes","Yes","Rotten Tomatoes","Yes","Half","No","Don't have time","No","No","No","Key word search","My saved/like movies list","Movie theme"
"2021/10/13 4:04:22 下午 GMT+1","Yes","Female","25-45","Have less than 3 years of work experience","Watching movies;Playing the computer game;Reading;Listening the music","Good reviews","Sometimes","Yes","Twitter","Maybe","Half","Sometimes","Not getting likes/share from others","Maybe","Maybe","Maybe","Key word search","My saved/like movies list","Movie theme"
"2021/10/13 4:21:14 下午 GMT+1","Yes","Male","25-45","Over 10 years work experience","Watching movies;Playing the computer game;Reading;Listening the music","Awards or Recommendations from other authorities, like movie review platform, cinema,","Yes","Maybe","Twitter","Maybe","Less than half","No","Too many trolls","Maybe","Yes","Yes","Shared link from my friends","All of the above are important","Movie theme"
"2021/10/13 4:21:41 下午 GMT+1","Yes","Female","18-25","Student","Watching movies;Reading;Listening the music","Cast;Trailer;Awards or Recommendations from other authorities, like movie review platform, cinema,","Yes","Maybe","Rotten Tomatoes","Maybe","Most","Sometimes","","Maybe","Maybe","Yes","Shared link from my friends","All of the above are important","Story plot"
"2021/10/13 4:31:49 下午 GMT+1","Yes","Male","18-25","Have 3-10 years of work experience","Watching movies;Playing the computer game;Listening the music","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","Sometimes","Maybe","Rotten Tomatoes","Maybe","Half","No","Too many trolls","No","Maybe","No","Recommendation by the certain platform","My saved/like movies list","Story plot"
"2021/10/13 4:56:47 下午 GMT+1","Yes","Female","18-25","Have 3-10 years of work experience","Watching movies","Trailer","Yes","Yes","Twitter","Yes","Most","Yes","Too many trolls","Yes","Yes","Yes","Key word search","Personal preference when you register","Story plot"
"2021/10/13 5:00:11 下午 GMT+1","No","Female","25-45","Student","Watching movies","Good reviews","Yes","Maybe","Google","No","Half","No","Too many trolls","No","Maybe","Maybe","Key word search","All of the above are important","Story plot"
"2021/10/13 5:13:53 下午 GMT+1","Yes","Male","18-25","Student","Watching movies;Playing the computer game;Reading","Awards or Recommendations from other authorities, like movie review platform, cinema,;Good reviews","No","Maybe","IMDb (Internet Movie Database)","Maybe","Most","No","Too many trolls","No","Yes","Yes","Some people share it on the social media","All of the above are important","Movie theme"
"2021/10/13 5:15:51 下午 GMT+1","Yes","Female","25-45","Student","Playing the computer game;Reading","Good reviews","Yes","Yes","Rotten Tomatoes","No","Most","Sometimes","Not getting likes/share from others","Maybe","Yes","Yes","Recommendation by the certain platform","All of the above are important","Story plot"
"2021/10/13 5:17:04 下午 GMT+1","Maybe, not really","Male","25-45","Over 10 years work experience","Watching movies;Listening the music","Trailer","Sometimes","Maybe","Tv youtube","Maybe","","No","","Maybe","Maybe","Maybe","","All of the above are important","Story plot"
